测试模块,测试用例ID,测试用例名称,前置条件,测试步骤,预期结果,测试类型,优先级
广告计划列表,TC011,广告计划列表展示,用户已登录,"1. 登录系统
2. 访问广告计划列表页面","1. 显示广告计划表格
2. 显示分页控件
3. 显示搜索框
4. 表格包含计划名称、状态、预算等字段",功能测试,高
广告计划列表,TC012,广告计划搜索功能,用户已登录,"1. 登录系统
2. 访问广告计划列表页面
3. 在搜索框输入计划名称
4. 点击搜索按钮","1. 显示匹配搜索条件的广告计划
2. 表格数据实时更新
3. 分页信息更新",功能测试,中
广告计划列表,TC013,广告计划分页功能,用户已登录,"1. 登录系统
2. 访问广告计划列表页面
3. 点击分页控件","1. 页面跳转到对应页码
2. 显示对应页面的数据
3. 分页控件状态更新",功能测试,中
广告组列表,TC014,广告组列表展示,用户已登录,"1. 登录系统
2. 访问广告组列表页面","1. 显示广告组表格
2. 显示分页控件
3. 显示搜索框
4. 表格包含组名称、包含计划数等字段",功能测试,高
广告组列表,TC015,广告组搜索功能,用户已登录,"1. 登录系统
2. 访问广告组列表页面
3. 在搜索框输入组名称
4. 点击搜索按钮","1. 显示匹配搜索条件的广告组
2. 表格数据实时更新
3. 分页信息更新",功能测试,中
广告创意列表,TC016,广告创意列表展示,用户已登录,"1. 登录系统
2. 访问广告创意列表页面","1. 显示广告创意表格
2. 显示分页控件
3. 显示搜索框
4. 表格包含创意名称、状态、Display ID等字段",功能测试,高
广告创意列表,TC017,广告创意搜索功能,用户已登录,"1. 登录系统
2. 访问广告创意列表页面
3. 在搜索框输入创意名称
4. 点击搜索按钮","1. 显示匹配搜索条件的广告创意
2. 表格数据实时更新
3. 分页信息更新",功能测试,中
管理后台-权限,TC018,管理员权限验证,管理员用户已登录,"1. 以管理员身份登录
2. 访问管理后台页面","1. 成功进入管理后台
2. 显示管理后台界面
3. 显示相应的管理菜单",权限测试,高
管理后台-权限,TC019,普通用户权限验证,普通用户已登录,"1. 以普通用户身份登录
2. 尝试访问管理后台页面","1. 访问被拒绝
2. 跳转到404页面或显示权限不足提示",权限测试,高
管理后台-权限,TC020,超级管理员权限验证,超级管理员已登录,"1. 以超级管理员身份登录
2. 访问管理后台页面","1. 成功进入管理后台
2. 显示所有管理菜单包括用户管理
3. 可以访问所有管理功能",权限测试,高
管理后台-导航,TC021,管理后台菜单导航,管理员已登录,"1. 登录管理后台
2. 点击左侧菜单各项","1. 点击'账户数据'显示Dashboard
2. 点击'广告计划'显示计划管理
3. 点击'广告组'显示组管理
4. 点击'广告创意'显示创意管理
5. 超级管理员可见'用户管理'",功能测试,高
管理后台-导航,TC022,返回首页功能,管理员已登录,"1. 登录管理后台
2. 点击底部'返回首页'按钮","1. 成功跳转到主应用首页
2. 退出管理后台界面",功能测试,中
管理后台-Dashboard,TC023,账户数据展示,管理员已登录,"1. 登录管理后台
2. 访问Dashboard页面","1. 显示账户余额
2. 显示今日消耗
3. 显示账户日预算
4. 显示统计图表",功能测试,高
管理后台-Dashboard,TC024,账户数据编辑,管理员已登录,"1. 登录管理后台
2. 访问Dashboard页面
3. 点击编辑按钮
4. 修改账户信息
5. 点击保存","1. 弹出编辑对话框
2. 数据修改成功
3. 页面显示更新后的数据",功能测试,中
管理后台-广告计划,TC025,广告计划管理列表,管理员已登录,"1. 登录管理后台
2. 访问广告计划管理页面","1. 显示广告计划表格
2. 显示搜索框
3. 显示新建按钮
4. 显示分页控件",功能测试,高
管理后台-广告计划,TC026,新建广告计划,管理员已登录,"1. 登录管理后台
2. 访问广告计划管理页面
3. 点击'新建计划'按钮
4. 填写计划信息
5. 点击保存","1. 弹出新建对话框
2. 计划创建成功
3. 列表显示新建的计划",功能测试,高
管理后台-广告计划,TC027,编辑广告计划,管理员已登录,"1. 登录管理后台
2. 访问广告计划管理页面
3. 点击某个计划的编辑按钮
4. 修改计划信息
5. 点击保存","1. 弹出编辑对话框
2. 对话框显示当前计划信息
3. 计划修改成功
4. 列表显示更新后的信息",功能测试,高
管理后台-广告计划,TC028,删除广告计划,管理员已登录,"1. 登录管理后台
2. 访问广告计划管理页面
3. 点击某个计划的删除按钮
4. 确认删除","1. 弹出删除确认对话框
2. 计划删除成功
3. 列表中移除该计划",功能测试,高
管理后台-广告计划,TC029,查看广告计划详情,管理员已登录,"1. 登录管理后台
2. 访问广告计划管理页面
3. 点击某个计划的查看按钮","1. 弹出详情对话框
2. 显示计划的详细信息
3. 包含所有计划字段信息",功能测试,中
管理后台-广告计划,TC030,广告计划搜索,管理员已登录,"1. 登录管理后台
2. 访问广告计划管理页面
3. 在搜索框输入计划名称
4. 点击搜索或按回车","1. 显示匹配的计划列表
2. 分页信息更新
3. 搜索框保持输入内容",功能测试,中
管理后台-广告组,TC031,广告组管理列表,管理员已登录,"1. 登录管理后台
2. 访问广告组管理页面","1. 显示广告组卡片列表
2. 每行显示2个广告组
3. 显示新建按钮
4. 卡片显示组名称和包含计划数",功能测试,高
管理后台-广告组,TC032,新建广告组,管理员已登录,"1. 登录管理后台
2. 访问广告组管理页面
3. 点击'新建广告组'按钮
4. 填写组名称
5. 点击保存","1. 弹出新建对话框
2. 广告组创建成功
3. 列表显示新建的广告组",功能测试,高
管理后台-广告组,TC033,编辑广告组,管理员已登录,"1. 登录管理后台
2. 访问广告组管理页面
3. 点击某个组的编辑按钮
4. 修改组名称
5. 点击保存","1. 弹出编辑对话框
2. 对话框显示当前组信息
3. 广告组修改成功
4. 列表显示更新后的信息",功能测试,高
管理后台-广告组,TC034,删除广告组,管理员已登录,"1. 登录管理后台
2. 访问广告组管理页面
3. 点击空广告组的删除按钮
4. 确认删除","1. 弹出删除确认对话框
2. 广告组删除成功
3. 列表中移除该广告组",功能测试,高
管理后台-广告组,TC035,删除包含计划的广告组,管理员已登录,"1. 登录管理后台
2. 访问广告组管理页面
3. 点击包含计划的广告组删除按钮","1. 删除按钮为禁用状态
2. 或显示提示信息'请先删除组内计划'
3. 无法执行删除操作",功能测试,高
管理后台-广告组,TC036,查看广告组详情,管理员已登录,"1. 登录管理后台
2. 访问广告组管理页面
3. 点击某个组的查看按钮","1. 弹出详情对话框
2. 显示广告组基本信息
3. 显示组内广告计划列表
4. 显示添加计划按钮",功能测试,中
管理后台-广告组,TC037,添加广告计划到组,管理员已登录,"1. 登录管理后台
2. 查看广告组详情
3. 点击'添加计划'按钮
4. 选择要添加的计划
5. 点击确定添加","1. 弹出计划选择对话框
2. 显示可用的广告计划
3. 计划添加成功
4. 详情页面显示新添加的计划",功能测试,中
管理后台-广告组,TC038,从组中移除广告计划,管理员已登录,"1. 登录管理后台
2. 查看包含计划的广告组详情
3. 点击某个计划的移除按钮
4. 确认移除","1. 弹出移除确认对话框
2. 计划从组中移除成功
3. 详情页面不再显示该计划",功能测试,中
管理后台-广告创意,TC039,广告创意管理列表,管理员已登录,"1. 登录管理后台
2. 访问广告创意管理页面","1. 显示广告创意表格
2. 显示搜索框
3. 显示新建按钮
4. 显示分页控件",功能测试,高
管理后台-广告创意,TC040,新建广告创意,管理员已登录,"1. 登录管理后台
2. 访问广告创意管理页面
3. 点击'新建创意'按钮
4. 填写创意信息
5. 点击保存","1. 弹出新建对话框
2. 创意创建成功
3. 列表显示新建的创意",功能测试,高
管理后台-广告创意,TC041,编辑广告创意,管理员已登录,"1. 登录管理后台
2. 访问广告创意管理页面
3. 点击某个创意的编辑按钮
4. 修改创意信息
5. 点击保存","1. 弹出编辑对话框
2. 对话框显示当前创意信息
3. 创意修改成功
4. 列表显示更新后的信息",功能测试,高
管理后台-广告创意,TC042,查看广告创意详情,管理员已登录,"1. 登录管理后台
2. 访问广告创意管理页面
3. 点击某个创意的查看按钮","1. 弹出详情对话框
2. 显示创意的详细信息
3. 包含所有创意字段信息",功能测试,中
管理后台-广告创意,TC043,广告创意搜索,管理员已登录,"1. 登录管理后台
2. 访问广告创意管理页面
3. 在搜索框输入创意名称
4. 点击搜索或按回车","1. 显示匹配的创意列表
2. 分页信息更新
3. 搜索框保持输入内容",功能测试,中
管理后台-用户管理,TC044,用户管理权限验证,超级管理员已登录,"1. 以超级管理员身份登录
2. 访问用户管理页面","1. 成功进入用户管理页面
2. 显示用户列表
3. 显示用户管理功能",权限测试,高
管理后台-用户管理,TC045,非超级管理员访问用户管理,管理员已登录,"1. 以普通管理员身份登录
2. 尝试访问用户管理页面","1. 显示权限不足提示
2. 无法访问用户管理功能
3. 左侧菜单不显示用户管理选项",权限测试,高
管理后台-用户管理,TC046,用户列表展示,超级管理员已登录,"1. 以超级管理员身份登录
2. 访问用户管理页面","1. 显示用户列表表格
2. 显示添加用户按钮
3. 表格包含用户名、角色、状态等字段",功能测试,高
管理后台-用户管理,TC047,添加新用户,超级管理员已登录,"1. 以超级管理员身份登录
2. 访问用户管理页面
3. 点击'添加用户'按钮
4. 填写用户信息
5. 点击确定","1. 弹出添加用户对话框
2. 用户创建成功
3. 列表显示新添加的用户",功能测试,高
管理后台-用户管理,TC048,编辑用户信息,超级管理员已登录,"1. 以超级管理员身份登录
2. 访问用户管理页面
3. 点击某个用户的编辑按钮
4. 修改用户信息
5. 点击确定","1. 弹出编辑用户对话框
2. 对话框显示当前用户信息
3. 用户信息修改成功
4. 列表显示更新后的信息",功能测试,高
管理后台-用户管理,TC049,用户状态切换,超级管理员已登录,"1. 以超级管理员身份登录
2. 访问用户管理页面
3. 点击用户状态切换按钮","1. 用户状态成功切换
2. 表格显示更新后的状态
3. 显示操作成功提示",功能测试,中
404页面,TC050,访问不存在页面,用户已登录,"1. 登录系统
2. 访问不存在的URL路径","1. 显示404错误页面
2. 页面提示'页面未找到'或类似信息
3. 提供返回首页的链接",功能测试,中
404页面,TC051,无权限页面访问,普通用户已登录,"1. 以普通用户身份登录
2. 尝试访问管理后台页面","1. 跳转到404页面或权限错误页面
2. 显示相应的错误信息",权限测试,中
界面响应性,TC052,页面加载性能,用户已登录,"1. 登录系统
2. 访问各个页面
3. 观察页面加载时间","1. 页面在3秒内完成加载
2. 显示加载状态指示器
3. 数据加载完成后正常显示",性能测试,中
界面响应性,TC053,表格数据加载,用户已登录,"1. 登录系统
2. 访问包含表格的页面
3. 观察表格数据加载","1. 表格显示加载状态
2. 数据加载完成后正常显示
3. 分页控件正常工作",性能测试,中
界面响应性,TC054,搜索响应性能,用户已登录,"1. 登录系统
2. 在搜索框输入关键词
3. 执行搜索操作","1. 搜索结果在2秒内返回
2. 显示搜索加载状态
3. 结果准确匹配搜索条件",性能测试,中
数据一致性,TC055,数据同步验证,管理员已登录,"1. 在管理后台修改数据
2. 访问前台对应页面
3. 检查数据是否同步","1. 前台页面显示最新数据
2. 数据修改实时生效
3. 各页面数据保持一致",功能测试,高
数据一致性,TC056,分页数据一致性,用户已登录,"1. 登录系统
2. 访问有分页的列表页面
3. 切换不同页码
4. 检查数据完整性","1. 各页面数据不重复
2. 总数统计准确
3. 分页控件状态正确",功能测试,中
表单验证,TC057,必填字段验证,管理员已登录,"1. 登录管理后台
2. 打开任意新建/编辑表单
3. 必填字段留空
4. 尝试提交表单","1. 显示字段必填提示
2. 表单无法提交
3. 错误提示信息准确",功能测试,高
表单验证,TC058,字段格式验证,管理员已登录,"1. 登录管理后台
2. 打开任意新建/编辑表单
3. 输入格式错误的数据
4. 尝试提交表单","1. 显示格式错误提示
2. 表单无法提交
3. 提示信息指导正确格式",功能测试,中
表单验证,TC059,字段长度验证,管理员已登录,"1. 登录管理后台
2. 打开任意新建/编辑表单
3. 输入超长或过短的数据
4. 尝试提交表单","1. 显示长度限制提示
2. 表单无法提交
3. 提示信息说明长度要求",功能测试,中
兼容性测试,TC060,浏览器兼容性,用户已登录,"1. 使用不同浏览器访问系统
2. 测试主要功能","1. 在Chrome、Firefox、Safari等主流浏览器正常工作
2. 界面显示一致
3. 功能操作正常",兼容性测试,中
兼容性测试,TC061,移动端适配,用户已登录,"1. 使用移动设备访问系统
2. 测试主要功能","1. 页面在移动设备上正常显示
2. 触摸操作响应正常
3. 界面元素大小适中",兼容性测试,低
安全性测试,TC062,登录状态保持,用户已登录,"1. 登录系统
2. 长时间不操作
3. 尝试访问需要权限的页面","1. 登录状态在合理时间内保持
2. 超时后自动跳转登录页面
3. 重新登录后恢复正常",安全测试,中
安全性测试,TC063,权限边界测试,不同角色用户,"1. 使用不同角色用户登录
2. 尝试访问超出权限的功能","1. 普通用户无法访问管理功能
2. 管理员无法访问超级管理员功能
3. 显示适当的权限错误信息",安全测试,高
错误处理,TC064,网络异常处理,用户已登录,"1. 登录系统
2. 断开网络连接
3. 尝试执行需要网络的操作","1. 显示网络错误提示
2. 提供重试机制
3. 网络恢复后功能正常",异常测试,中
错误处理,TC065,服务器错误处理,用户已登录,"1. 登录系统
2. 模拟服务器错误
3. 执行各种操作","1. 显示友好的错误提示
2. 不显示技术错误信息
3. 提供解决建议或重试选项",异常测试,中
